Density,Sonic,Gamma
1412.9175,526.276,35.0539
1440.0626,525.7502,36.8513
1480.6471,529.7991,38.0241
1498.9574,535.9008,38.657
1471.5807,537.646,38.785
1428.7913,534.6347,38.785
1402.8387,530.1608,38.785
1402.0984,525.313,38.785
1392.3168,525.582,38.9764
1378.207,530.4585,39.6475
1379.1064,527.1144,40.1661
1377.74,520.3912,40.2906
1377.8799,514.7306,40.4294
1376.0801,513.8934,40.3932
1372.5916,519.4992,40.2483
1369.0508,525.1819,40.2385
1375.9692,530.6577,40.1835
1390.1527,534.6882,39.946
1385.0394,540.811,38.2719
1373.9097,545.5403,35.5637
1376.3523,548.5075,33.5187
1374.3446,544.9537,32.4801
1368.7919,537.3131,32.4801
1372.1038,529.4545,32.5189
1369.757,531.3121,33.4484
1368.1624,535.0167,33.4484
1362.6,537.3455,33.4484
1367.5674,532.6033,29.4187
1382.7843,530.1375,27.0046
1383.6801,531.1023,26.9392
1374.7045,528.4658,26.9392
1369.4735,526.2334,26.9392
1367.0907,530.8129,26.9392
1369.8483,538.1171,25.7402
1370.9041,537.6534,25.3214
1376.5471,533.1706,23.5529
1377.3153,527.4402,23.126
1374.3833,527.0663,23.0386
1374.5321,529.8866,22.7322
1374.7799,533.062,22.3589
1377.3176,535.1002,21.4447
1373.5524,535.5388,21.2177
1371.3712,537.9169,21.2177
1368.6068,544.0671,21.2177
1368.0601,557.6133,20.4267
1366.0088,560.1111,19.4371
1368.1222,545.1665,19.1541
1369.0286,532.8978,19.1541
1369.584,529.1577,20.0227
1374.161,529.8089,20.4836
1375.9358,532.6241,20.4836
1380.5144,533.4167,20.7905
1382.335,531.9095,20.9895
1377.2719,529.594,21.105
1372.9119,532.9146,22.6866
1367.2513,542.0066,23.8618
1363.7687,549.588,23.8618
1366.256,549.1531,23.3279
1367.1652,540.5411,21.8935
1366.6241,527.5447,20.5585
1372.3875,516.2562,19.7421
1378.1554,513.4188,19.2818
1376.6699,521.6204,19.2818
1372.4847,538.4651,19.7597
1369.6401,556.5588,20.8925
1369.4104,561.4211,21.8172
1367.0095,547.7335,22.2594
1366.9257,532.4611,22.6023
1369.9333,518.6124,23.1142
1368.4312,512.1725,23.6181
1365.1614,519.4639,25.0699
1365.042,531.2382,26.5588
1366.533,532.4971,26.5588
1372.0227,529.6133,26.5016
1371.0919,527.1871,25.5386
1370.2083,529.5233,22.738
1372.2408,534.4232,21.6119
1374.8932,537.0894,21.0236
1375.8386,542.8113,20.9975
1375.7476,540.1842,20.9975
1371.1985,528.2451,20.9546
1367.0789,513.8327,20.6544
1362.9813,506.9276,20.1222
1364.7643,500.8446,18.6956
1368.2358,507.7315,18.6956
1367.3666,526.1378,18.7628
1365.3081,530.5441,19.7115
1361.5669,538.8411,19.895
1366.5168,531.4044,19.8924
1375.0997,522.8334,19.7025
1374,516.9698,19.6507
1371.0397,513.35,19.6507
1367.7128,512.4317,19.6507
1365.7885,512.1373,20.5365
1363.3667,516.2396,20.5798
1363.016,522.0359,20.7514
1359.5541,531.0398,21.0497
1363.8994,539.9225,20.8017
1368.3431,539.0491,20.7663
1365.1453,525.771,20.7663
1365.4241,516.6981,20.2018
1368.4113,511.0268,20.0943
1371.8235,510.4316,20.1665
1373.2933,515.0503,19.8241
1373.2681,523.0142,19.2885
1374.4922,526.3351,18.5731
1371.5398,523.7842,18.3368
1365.8214,518.5265,18.1452
1365.4553,517.303,18.0797
1367.803,519.4962,18.0797
1369.5522,523.3145,18.2042
1369.9333,523.0144,18.3865
